"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1051","In 8yrs not even one single hospital was built by the erstwhile @NPP administration. #JMToaso",FALSE,0,NA,2016-12-02 14:12:08,FALSE,NA,"804689613650612224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kozi_dodzi",1,FALSE,FALSE,NA,NA
"1052","RT @Kwamebonfit: The factories are already being revived #JMToaso #StillJMToaso https://t.co/ul5SyQgU5A",FALSE,0,NA,2016-12-02 14:10:09,FALSE,NA,"804689114331312128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Awonye_beans",105,TRUE,FALSE,NA,NA
"1053","RT @ginn__: #JMToaso <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BF> https://t.co/CpSPjX001O",FALSE,0,NA,2016-12-02 14:09:12,FALSE,NA,"804688871665504257",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Fearon_",7,TRUE,FALSE,NA,NA
"1054","RT @GhanaAtWorkGH: #DearPrezMahama Thank you for building the 160-Bed Wa Regional Hospital. #JMToaso https://t.co/26NOQA3wSb",FALSE,0,NA,2016-12-02 14:08:04,FALSE,NA,"804688590131392512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","adano82",33,TRUE,FALSE,NA,NA
"1055","#DearPrezMahama Thank you for building the 160-Bed Wa Regional Hospital. #JMToaso https://t.co/26NOQA3wSb",FALSE,19,NA,2016-12-02 14:07:06,FALSE,NA,"804688344047194112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GhanaAtWorkGH",33,FALSE,FALSE,NA,NA
"1056","RT @ginn__: #JMToaso <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BF> https://t.co/CpSPjX001O",FALSE,0,NA,2016-12-02 14:04:40,FALSE,NA,"804687733373497345",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Lord_Grayy",7,TRUE,FALSE,NA,NA
"1057","#JMToaso",FALSE,0,NA,2016-12-02 14:04:32,FALSE,NA,"804687699160551425",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ClintonAnthony1",0,FALSE,FALSE,NA,NA
"1058","People of Ghana: We need to hear your voices! #Vote4JM #JMToaso https://t.co/00WyS7itpb",FALSE,8,NA,2016-12-02 14:01:42,FALSE,NA,"804686984086192128",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","OfficialNDCGh",5,FALSE,FALSE,NA,NA
"1059","RT @Kwamebonfit: Good Work Done Mr. President @JDMahama 
@AbeikuSantana 
@johndumelo1 
#JMToaso
ChangingLives
TransformingGhana 
https://t.…",FALSE,0,NA,2016-12-02 13:58:41,FALSE,NA,"804686227458887680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","asase_wisdom",133,TRUE,FALSE,NA,NA
"1060","RT @dannyblaise7: #JMToaso   @AbeikuSantana
  
  #FREEDATA
  #JMnumber https://t.co/I7FH7P7tMs",FALSE,0,NA,2016-12-02 13:58:41,FALSE,NA,"804686225064005633",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NanaWiafeAkent5",13,TRUE,FALSE,NA,NA
"1061","RT @TransformingGh: When problems come into Ghana like a non-stop rain,we always remember that @JDMahama will always be our umbrella.#Trans…",FALSE,0,NA,2016-12-02 13:58:13,FALSE,NA,"804686109187997696",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NanaWiafeAkent5",11,TRUE,FALSE,NA,NA
"1062","RT @Nanakesse24: Prez @JDMahama is investing in the oil sector to grow Ghana's economy.
@TransformingGh @AbeikuSantana @lizofosuadjare @JmT…",FALSE,0,NA,2016-12-02 13:56:31,FALSE,NA,"804685682555965440",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AppiahSilas",7,TRUE,FALSE,NA,NA
"1063","160 bed WA Regional Hospital nears completion.. 
#JMToaso",FALSE,0,NA,2016-12-02 13:56:08,FALSE,NA,"804685585621352448",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","YayraKoku",0,FALSE,FALSE,NA,NA
"1064","RT @dannyblaise7: # JMToaso 
  #FREEDATA
  #JMnumber3
    
  @DeleMomodu
   
A solid social and economic infrastructure is a solid foundati…",FALSE,0,NA,2016-12-02 13:55:59,FALSE,NA,"804685546819911680",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GodwinAnane2",3,TRUE,FALSE,NA,NA
"1065","RT @ian_okus: Support still getting bigger and messages are getting to the grassroots 
#Ghanadecides 
#JMToaso https://t.co/zFcGHzmVLV",FALSE,0,NA,2016-12-02 13:53:55,FALSE,NA,"804685027250421760",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","BONNYhussle",22,TRUE,FALSE,NA,NA
"1066","RT @dannyblaise7: # JMToaso 
  #FREEDATA
  #JMnumber3
  
Freedata is spot on.Using it to tweet now.@DominicSenayah  and im seeing Ghana's g…",FALSE,0,NA,2016-12-02 13:53:07,FALSE,NA,"804684825315708928",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GodwinAnane2",3,TRUE,FALSE,NA,NA
"1067","RT @Kwamebonfit: Good Work Done Mr. President @JDMahama 
@AbeikuSantana 
@johndumelo1 
#JMToaso
ChangingLives
TransformingGhana 
https://t.…",FALSE,0,NA,2016-12-02 13:52:33,FALSE,NA,"804684685053980672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","koley_naa",133,TRUE,FALSE,NA,NA
"1068","RT @Kwamebonfit: Good Work Done Mr. President @JDMahama 
@AbeikuSantana 
@johndumelo1 
#JMToaso
ChangingLives
TransformingGhana 
https://t.…",FALSE,0,NA,2016-12-02 13:51:17,FALSE,NA,"804684365108301825",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","carr_gertrude",133,TRUE,FALSE,NA,NA
"1069","RT @sparrowslnds: Following JM's campaign isnt bad after all. Getting free data. so amazing 
@greenbook_ghana 
 @joy997
  #JMToaso 
  #FREE…",FALSE,0,NA,2016-12-02 13:51:06,FALSE,NA,"804684317444239360",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dannyblaise7",2,TRUE,FALSE,NA,NA
"1070","RT @sparrowslnds: So i get free data for watching video's of Ghana's dev't??
  @starr1035fm
    #JMToaso 
  #FREEDATA
  #JMnumber3 https://…",FALSE,0,NA,2016-12-02 13:50:47,FALSE,NA,"804684240101265408",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dannyblaise7",2,TRUE,FALSE,NA,NA
"1071","RT @sparrowslnds: wooow. i got free data for watching video on education
  @johndumelo1
    #JMToaso 
  #FREEDATA
  #JMnumber3 https://t.co…",FALSE,0,NA,2016-12-02 13:50:30,FALSE,NA,"804684168747683840",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dannyblaise7",2,TRUE,FALSE,NA,NA
"1072","RT @sparrowslnds: i wont buy data again. JM vidoes reward me with data
@OkotoMenka 
@DeleMomodu 
  #JMToaso 
  #FREEDATA
  #JMnumber3 https…",FALSE,0,NA,2016-12-02 13:50:15,FALSE,NA,"804684104147095553",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dannyblaise7",2,TRUE,FALSE,NA,NA
"1073","RT @sparrowslnds: Try it folks.we getting free data for watching JM Video's on dev't
@greenbook_ghana  
@yvonnenelsongh
    #JMToaso 
  #FR…",FALSE,0,NA,2016-12-02 13:50:01,FALSE,NA,"804684045384814592",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dannyblaise7",2,TRUE,FALSE,NA,NA
"1074","RT @sparrowslnds: Free data. so amazing. Thank you JM
  @Akumaa
  @SandraAnkobiah
  #JMToaso 
  #FREEDATA
  #JMnumber3 https://t.co/Jzd7bhZ…",FALSE,0,NA,2016-12-02 13:49:46,FALSE,NA,"804683983099482116",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dannyblaise7",2,TRUE,FALSE,NA,NA
