"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"325","RT @SirAnaman: Goodluck &gt; Gone
Jammeh &gt; Gone
Mahama &gt; Going

#ChangeIsComing #IAmForNana",FALSE,0,NA,2016-12-02 15:53:57,FALSE,NA,"804715232748769280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Itz_Rhamos",5,TRUE,FALSE,NA,NA
"326","RT @Qwe_djo: Meanwhile NPP is the desperate one. #ChangeIsComing https://t.co/rypmXz0AWX",FALSE,0,NA,2016-12-02 15:53:23,FALSE,NA,"804715090410950656",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Domani_Stilinsk",62,TRUE,FALSE,NA,NA
"327","RT @Qwe_djo: Meanwhile NPP is the desperate one. #ChangeIsComing https://t.co/rypmXz0AWX",FALSE,0,NA,2016-12-02 15:52:37,FALSE,NA,"804714900081745920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","iNaa_elley",62,TRUE,FALSE,NA,NA
"328","#ChangeIsComing.... https://t.co/A7b62u1fNn",FALSE,0,NA,2016-12-02 15:51:09,FALSE,NA,"804714530395881473",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","badger3030",1,FALSE,FALSE,NA,NA
"329","Meanwhile NPP is the desperate one. #ChangeIsComing https://t.co/rypmXz0AWX",FALSE,8,NA,2016-12-02 15:50:02,FALSE,NA,"804714247670341633",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Qwe_djo",62,FALSE,FALSE,NA,NA
"330","RT @Opokukwame207: ""We want jobs for the youth"" @NAkufoAddo - Peace FM

#NanaSpeaks
#ChangeIsComing
#VoteAkufoAddo",FALSE,0,NA,2016-12-02 15:42:13,FALSE,NA,"804712283305811968",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","akserwah",4,TRUE,FALSE,NA,NA
"331","RT @Opokukwame207: ""One million dollar for Sanitation, schools, health etc""  @NAkufoAddo - Peace FM

#NanaSpeaks
#ChangeIsComing
#VoteAkufo…",FALSE,0,NA,2016-12-02 15:42:10,FALSE,NA,"804712270630678528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","akserwah",5,TRUE,FALSE,NA,NA
"332","RT @Opokukwame207: ""I'm sending Okyehene to where!? Let's campaign on issues!"" @NAkufoAddo  - Peace FM

#NanaSpeaks
#ChangeIsComing
#VoteAk…",FALSE,0,NA,2016-12-02 15:42:08,FALSE,NA,"804712260333670400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","akserwah",4,TRUE,FALSE,NA,NA
"333","RT @Opokukwame207: Nana Addo has mentioned all the wives he has married! Opana should do the same!

#NanaSpeaks
#ChangeIsComing
#VoteAkufoA…",FALSE,0,NA,2016-12-02 15:42:06,FALSE,NA,"804712251756253184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","akserwah",3,TRUE,FALSE,NA,NA
"334","RT @SirAnaman: Goodluck &gt; Gone
Jammeh &gt; Gone
Mahama &gt; Going

#ChangeIsComing #IAmForNana",FALSE,0,NA,2016-12-02 15:38:20,FALSE,NA,"804711305559019520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","citizendonGh",5,TRUE,FALSE,NA,NA
"335","RT @SirAnaman: Goodluck &gt; Gone
Jammeh &gt; Gone
Mahama &gt; Going

#ChangeIsComing #IAmForNana",FALSE,0,NA,2016-12-02 15:35:03,FALSE,NA,"804710478496862208",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kwameNzyme",5,TRUE,FALSE,NA,NA
"336","RT @SirAnaman: Goodluck &gt; Gone
Jammeh &gt; Gone
Mahama &gt; Going

#ChangeIsComing #IAmForNana",FALSE,0,NA,2016-12-02 15:35:01,FALSE,NA,"804710469076455424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Killer_Bean3",5,TRUE,FALSE,NA,NA
"337","Goodluck &gt; Gone
Jammeh &gt; Gone
Mahama &gt; Going

#ChangeIsComing #IAmForNana",FALSE,0,NA,2016-12-02 15:34:09,FALSE,NA,"804710253489225728",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SirAnaman",5,FALSE,FALSE,NA,NA
"338","RT @emprezz4real: Nana Addo Dankwa Akufo-Addo the ""Show Boy"" is coming soon Insha Allah 
#VoteAkufoAddo 
#ChangeIsComing https://t.co/8lqrC…",FALSE,0,NA,2016-12-02 15:25:40,FALSE,NA,"804708117967683584",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CoslynAfi_GH",3,TRUE,FALSE,NA,NA
"339","Another great meeting with @CollaboratorLtd today v exciting seeing everything coming together #changeiscoming @Naylorwintersg @NW_victoriaw",FALSE,0,NA,2016-12-02 15:24:50,FALSE,NA,"804707907640107008",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NW_colinw",0,FALSE,FALSE,NA,NA
"340","RT @nfaoforiatta: #Arise4Change in Atiwa West. #YawOsafoMaafo speaks to the EC issues. #ProtectYourVote
#ChangeIsComing
#VoteAkufoAddo http…",FALSE,0,NA,2016-12-02 15:16:03,FALSE,NA,"804705696553963520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PeronFox",6,TRUE,FALSE,NA,NA
"341","RT @nfaoforiatta: #Arise4Change in Atiwa East. #KateGyamfua speaks on #VolunteerForVictory.
#ChangeIsComing
#VoteAkufoAddo https://t.co/cYC…",FALSE,0,NA,2016-12-02 15:16:00,FALSE,NA,"804705683547521025",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PeronFox",9,TRUE,FALSE,NA,NA
"342","@meanmoii11 3 days ago ahhahahahah #changeiscoming",FALSE,2,"meanmoii11",2016-12-02 15:15:19,FALSE,"804701728184487938","804705511690018816","788013389482045442","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kimxdumo",0,FALSE,FALSE,NA,NA
"343","This is the road the NDC is bragging that it's been worked on. 
Wa-Tumu road... 

Shameful shameful
#ChangeIsComing",FALSE,0,NA,2016-12-02 15:03:57,FALSE,NA,"804702650184957952",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","dimahGhana",0,FALSE,FALSE,NA,NA
"344","@NAkufoAddo @Joy997FM @Citi973 @asempa947 @Adomonline @JOYNEWSONTV 

Stay glued to any of the stations above
#changeIsComing 
#IamforNana",FALSE,0,"NAkufoAddo",2016-12-02 15:02:45,FALSE,"804692323179384833","804702349830881280","247217109","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NanaAgyeman_",0,FALSE,FALSE,NA,NA
"345","RT @NPP_GH: Your Vote is your Voice. Get LOUD. Just 4 days to go. 
#VoteAkufoAddo 
#ChangeIsComing 
#ToAbaPa 
#No5 
<ed><U+00A0><U+00BD><ed><U+00B0><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+0098> https://t.co/HxDs…",FALSE,0,NA,2016-12-02 15:02:26,FALSE,NA,"804702270877237248",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","SomeNiggaBi_",99,TRUE,FALSE,NA,NA
